"match_id","team1","team2","date","match_number","toss_winner","toss_decision","player_of_match","winner","winner_wickets","balls_remaining","winner_runs","outcome","method"
65235,"West Indies","South Africa","2003-02-09",1,"West Indies","bat","BC Lara","West Indies",NA,NA,3,NA,NA
65236,"Zimbabwe","Namibia","2003-02-10",2,"Namibia","field","CB Wishart","Zimbabwe",NA,NA,86,NA,"D/L"
65237,"Sri Lanka","New Zealand","2003-02-10",3,"New Zealand","field","ST Jayasuriya","Sri Lanka",NA,NA,47,NA,NA
65238,"Australia","Pakistan","2003-02-11",4,"Pakistan","field","A Symonds","Australia",NA,NA,82,NA,NA
65239,"Canada","Bangladesh","2003-02-11",5,"Canada","bat","A Codrington","Canada",NA,NA,60,NA,NA
65240,"Kenya","South Africa","2003-02-12",6,"Kenya","bat","L Klusener","South Africa",10,172,NA,NA,NA
65241,"India","Netherlands","2003-02-12",7,"India","bat","TBM de Leede","India",NA,NA,68,NA,NA
65242,"New Zealand","West Indies","2003-02-13",9,"West Indies","field","AR Adams","New Zealand",NA,NA,20,NA,NA
65244,"India","Australia","2003-02-15",11,"India","bat","JN Gillespie","Australia",9,166,NA,NA,NA
65245,"Canada","Kenya","2003-02-15",12,"Canada","bat","TM Odoyo","Kenya",4,9,NA,NA,NA
65246,"Netherlands","England","2003-02-16",13,"England","field","JM Anderson","England",6,160,NA,NA,NA
65247,"Pakistan","Namibia","2003-02-16",14,"Pakistan","bat","Wasim Akram","Pakistan",NA,NA,171,NA,NA
65248,"South Africa","New Zealand","2003-02-16",15,"South Africa","bat","SP Fleming","New Zealand",9,13,NA,NA,"D/L"
65250,"India","Zimbabwe","2003-02-19",17,"Zimbabwe","field","SR Tendulkar","India",NA,NA,83,NA,NA
65251,"Canada","Sri Lanka","2003-02-19",18,"Sri Lanka","field","RAP Nissanka","Sri Lanka",9,272,NA,NA,NA
65252,"England","Namibia","2003-02-19",19,"Namibia","field","AJ Burger","England",NA,NA,55,NA,NA
65254,"Bangladesh","South Africa","2003-02-22",22,"South Africa","field","M Ntini","South Africa",10,228,NA,NA,NA
65255,"England","Pakistan","2003-02-22",23,"England","bat","JM Anderson","England",NA,NA,112,NA,NA
65256,"Canada","West Indies","2003-02-23",24,"West Indies","field","JM Davison","West Indies",7,177,NA,NA,NA
65257,"India","Namibia","2003-02-23",25,"Namibia","field","SR Tendulkar","India",NA,NA,181,NA,NA
65258,"Kenya","Sri Lanka","2003-02-24",26,"Sri Lanka","field","CO Obuya","Kenya",NA,NA,53,NA,NA
65259,"Zimbabwe","Australia","2003-02-24",27,"Zimbabwe","bat","AM Blignaut","Australia",7,15,NA,NA,NA
65260,"Pakistan","Netherlands","2003-02-25",28,"Netherlands","field","Mohammad Yousuf","Pakistan",NA,NA,97,NA,NA
65261,"Bangladesh","New Zealand","2003-02-26",29,"Bangladesh","bat","CD McMillan","New Zealand",7,99,NA,NA,NA
65262,"India","England","2003-02-26",30,"India","bat","A Nehra","India",NA,NA,82,NA,NA
65263,"Australia","Namibia","2003-02-27",31,"Australia","bat","GD McGrath","Australia",NA,NA,256,NA,NA
65264,"South Africa","Canada","2003-02-27",32,"Canada","field","HH Dippenaar","South Africa",NA,NA,118,NA,NA
65265,"Zimbabwe","Netherlands","2003-02-28",33,"Netherlands","field","HH Streak","Zimbabwe",NA,NA,99,NA,NA
65266,"Sri Lanka","West Indies","2003-02-28",34,"Sri Lanka","bat","WPUJC Vaas","Sri Lanka",NA,NA,6,NA,NA
65267,"Kenya","Bangladesh","2003-03-01",35,"Kenya","bat","MO Odumbe","Kenya",NA,NA,32,NA,NA
65268,"Pakistan","India","2003-03-01",36,"Pakistan","bat","SR Tendulkar","India",6,26,NA,NA,NA
65269,"England","Australia","2003-03-02",37,"England","bat","AJ Bichel","Australia",2,2,NA,NA,NA
65270,"Canada","New Zealand","2003-03-03",38,"New Zealand","field","JM Davison","New Zealand",5,162,NA,NA,NA
65271,"Netherlands","Namibia","2003-03-03",39,"Netherlands","bat","JF Kloppenburg","Netherlands",NA,NA,64,NA,NA
65272,"Sri Lanka","South Africa","2003-03-03",40,"Sri Lanka","bat","MS Atapattu",NA,NA,NA,0,"tie","D/L"
65275,"Australia","Sri Lanka","2003-03-07",NA,"Australia","bat","RT Ponting","Australia",NA,NA,96,NA,NA
65276,"Kenya","India","2003-03-07",NA,"Kenya","bat","SC Ganguly","India",6,13,NA,NA,NA
65277,"Zimbabwe","New Zealand","2003-03-08",NA,"Zimbabwe","bat","NJ Astle","New Zealand",6,16,NA,NA,NA
65278,"India","Sri Lanka","2003-03-10",NA,"Sri Lanka","field","J Srinath","India",NA,NA,183,NA,NA
65279,"Australia","New Zealand","2003-03-11",NA,"New Zealand","field","SE Bond","Australia",NA,NA,96,NA,NA
65280,"Zimbabwe","Kenya","2003-03-12",NA,"Zimbabwe","bat","MA Suji","Kenya",7,144,NA,NA,NA
65281,"New Zealand","India","2003-03-14",NA,"India","field","Z Khan","India",7,56,NA,NA,NA
65282,"Sri Lanka","Zimbabwe","2003-03-15",NA,"Sri Lanka","bat","MS Atapattu","Sri Lanka",NA,NA,74,NA,NA
65283,"Kenya","Australia","2003-03-15",NA,"Australia","field","AY Karim","Australia",5,112,NA,NA,NA
65284,"Australia","Sri Lanka","2003-03-18",NA,"Australia","bat","A Symonds","Australia",NA,NA,48,NA,"D/L"
65285,"India","Kenya","2003-03-20",NA,"India","bat","SC Ganguly","India",NA,NA,91,NA,NA
65286,"Australia","India","2003-03-23",NA,"India","field","RT Ponting","Australia",NA,NA,125,NA,NA
247457,"West Indies","Pakistan","2007-03-13",1,"Pakistan","field","DR Smith","West Indies",NA,NA,54,NA,NA
247458,"Australia","Scotland","2007-03-14",2,"Scotland","field","RT Ponting","Australia",NA,NA,203,NA,NA
247460,"Bermuda","Sri Lanka","2007-03-15",4,"Sri Lanka","bat","DPMD Jayawardene","Sri Lanka",NA,NA,243,NA,NA
247461,"Ireland","Zimbabwe","2007-03-15",5,"Zimbabwe","field","JP Bray",NA,NA,NA,0,"tie",NA
247462,"Netherlands","South Africa","2007-03-16",7,"Netherlands","field","HH Gibbs","South Africa",NA,NA,221,NA,NA
247463,"England","New Zealand","2007-03-16",6,"New Zealand","field","SB Styris","New Zealand",6,54,NA,NA,NA
247464,"Bangladesh","India","2007-03-17",8,"India","bat","Mashrafe Mortaza","Bangladesh",5,9,NA,NA,NA
247465,"Ireland","Pakistan","2007-03-17",9,"Ireland","field","NJ O'Brien","Ireland",3,32,NA,NA,"D/L"
247466,"Australia","Netherlands","2007-03-18",10,"Australia","bat","BJ Hodge","Australia",NA,NA,229,NA,NA
247467,"Canada","England","2007-03-18",11,"Canada","field","PD Collingwood","England",NA,NA,51,NA,NA
247468,"Bermuda","India","2007-03-19",12,"Bermuda","field","V Sehwag","India",NA,NA,257,NA,NA
247469,"West Indies","Zimbabwe","2007-03-19",13,"West Indies","field","SC Williams","West Indies",6,13,NA,NA,NA
247470,"Scotland","South Africa","2007-03-20",15,"South Africa","field","GC Smith","South Africa",7,160,NA,NA,NA
247471,"Kenya","New Zealand","2007-03-20",14,"Kenya","field","LRPL Taylor","New Zealand",NA,NA,148,NA,NA
247472,"Bangladesh","Sri Lanka","2007-03-21",16,"Bangladesh","field","ST Jayasuriya","Sri Lanka",NA,NA,198,NA,"D/L"
247473,"Pakistan","Zimbabwe","2007-03-21",17,"Zimbabwe","field","Imran Nazir","Pakistan",NA,NA,93,NA,"D/L"
247474,"Netherlands","Scotland","2007-03-22",19,"Netherlands","field","WF Stelling","Netherlands",8,157,NA,NA,NA
