match_id,balls_per_over,team1,team2,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,tv_umpire,match_referee,winner,winner_wickets,balls_remaining,winner_runs,outcome,method,eliminator
65240,6,Kenya,South Africa,male,2002/03,2/12/03,ICC World Cup,6,"North West Cricket Stadium, Potchefstroom",Potchefstroom,Kenya,bat,L Klusener,KC Barbour,TH Wijewardene,NA,NA Mallender,RS Madugalle,South Africa,10,172,NA,NA,NA,NA
65244,6,India,Australia,male,2002/03,2/15/03,ICC World Cup,11,"SuperSport Park, Centurion",Centurion,India,bat,JN Gillespie,EAR de Silva,DR Shepherd,NA,BG Jerling,CH Lloyd,Australia,9,166,NA,NA,NA,NA
65245,6,Canada,Kenya,male,2002/03,2/15/03,ICC World Cup,12,"Newlands, Cape Town",Cape Town,Canada,bat,TM Odoyo,AV Jayaprakash,Nadeem Ghauri,NA,KC Barbour,RS Madugalle,Kenya,4,9,NA,NA,NA,NA
65246,6,Netherlands,England,male,2002/03,2/16/03,ICC World Cup,13,"Buffalo Park, East London",East London,England,field,JM Anderson,DB Hair,RE Koertzen,NA,TH Wijewardene,MJ Procter,England,6,160,NA,NA,NA,NA
65248,6,South Africa,New Zealand,male,2002/03,2/16/03,ICC World Cup,15,"New Wanderers Stadium, Johannesburg",Johannesburg,South Africa,bat,SP Fleming,P Willey,SA Bucknor,NA,DJ Harper,Wasim Raja,New Zealand,9,13,NA,NA,D/L,NA
65251,6,Canada,Sri Lanka,male,2002/03,2/19/03,ICC World Cup,18,"Boland Bank Park, Paarl",Paarl,Sri Lanka,field,RAP Nissanka,DR Shepherd,NA Mallender,NA,KC Barbour,Wasim Raja,Sri Lanka,9,272,NA,NA,NA,NA
65254,6,Bangladesh,South Africa,male,2002/03,2/22/03,ICC World Cup,22,"Goodyear Park, Bloemfontein",Bloemfontein,South Africa,field,M Ntini,BF Bowden,S Venkataraghavan,NA,TH Wijewardene,CH Lloyd,South Africa,10,228,NA,NA,NA,NA
65256,6,Canada,West Indies,male,2002/03,2/23/03,ICC World Cup,24,"SuperSport Park, Centurion",Centurion,West Indies,field,JM Davison,EAR de Silva,DB Hair,NA,Nadeem Ghauri,RS Madugalle,West Indies,7,177,NA,NA,NA,NA
65259,6,Zimbabwe,Australia,male,2002/03,2/24/03,ICC World Cup,27,"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,bat,AM Blignaut,BF Bowden,DL Orchard,NA,BG Jerling,GR Viswanath,Australia,7,15,NA,NA,NA,NA
65261,6,Bangladesh,New Zealand,male,2002/03,2/26/03,ICC World Cup,29,"De Beers Diamond Oval, Kimberley",Kimberley,Bangladesh,bat,CD McMillan,DB Hair,DR Shepherd,NA,BG Jerling,MJ Procter,New Zealand,7,99,NA,NA,NA,NA
65268,6,Pakistan,India,male,2002/03,3/1/03,ICC World Cup,36,"SuperSport Park, Centurion",Centurion,Pakistan,bat,SR Tendulkar,DR Shepherd,RE Koertzen,NA,BF Bowden,MJ Procter,India,6,26,NA,NA,NA,NA
65269,6,England,Australia,male,2002/03,3/2/03,ICC World Cup,37,"St George's Park, Port Elizabeth",Gqeberha,England,bat,AJ Bichel,Aleem Dar,RB Tiffin,NA,DL Orchard,Wasim Raja,Australia,2,2,NA,NA,NA,NA
65270,6,Canada,New Zealand,male,2002/03,3/3/03,ICC World Cup,38,"Willowmoore Park, Benoni",Benoni,New Zealand,field,JM Davison,AV Jayaprakash,BG Jerling,NA,TH Wijewardene,DT Lindsay,New Zealand,5,162,NA,NA,NA,NA
65276,6,Kenya,India,male,2002/03,3/7/03,ICC World Cup,NA,"Newlands, Cape Town",Cape Town,Kenya,bat,SC Ganguly,DJ Harper,P Willey,NA,SJA Taufel,Wasim Raja,India,6,13,NA,NA,NA,NA
65277,6,Zimbabwe,New Zealand,male,2002/03,3/8/03,ICC World Cup,NA,"Goodyear Park, Bloemfontein",Bloemfontein,Zimbabwe,bat,NJ Astle,DB Hair,RE Koertzen,NA,EAR de Silva,GR Viswanath,New Zealand,6,16,NA,NA,NA,NA
65280,6,Zimbabwe,Kenya,male,2002/03,3/12/03,ICC World Cup,NA,"Goodyear Park, Bloemfontein",Bloemfontein,Zimbabwe,bat,MA Suji,Aleem Dar,S Venkataraghavan,NA,BF Bowden,Wasim Raja,Kenya,7,144,NA,NA,NA,NA
65281,6,New Zealand,India,male,2002/03,3/14/03,ICC World Cup,NA,"SuperSport Park, Centurion",Centurion,India,field,Z Khan,DJ Harper,P Willey,NA,DB Hair,RS Madugalle,India,7,56,NA,NA,NA,NA
65283,6,Kenya,Australia,male,2002/03,3/15/03,ICC World Cup,NA,"Kingsmead, Durban",Durban,Australia,field,AY Karim,BF Bowden,SA Bucknor,NA,EAR de Silva,MJ Procter,Australia,5,112,NA,NA,NA,NA
